lncRNA,miRNA
NEAT1,hsa-let-7g-5p
NEAT1,hsa-let-7i-5p
NEAT1,hsa-miR-101-3p
NEAT1,hsa-miR-103a-3p
NEAT1,hsa-miR-107
NEAT1,hsa-miR-10a-5p
NEAT1,hsa-miR-10b-5p
NEAT1,hsa-miR-124-3p
NEAT1,hsa-miR-125a-3p
NEAT1,hsa-miR-125a-5p
NEAT1,hsa-miR-129-5p
NEAT1,hsa-miR-146a-5p
NEAT1,hsa-miR-146b-5p
NEAT1,hsa-miR-154-5p
NEAT1,hsa-miR-181a-5p
NEAT1,hsa-miR-181b-5p
NEAT1,hsa-miR-181c-5p
NEAT1,hsa-miR-181d-5p
NEAT1,hsa-miR-193a-3p
NEAT1,hsa-miR-193b-3p
NEAT1,hsa-miR-194-5p
NEAT1,hsa-miR-202-3p
NEAT1,hsa-miR-204-5p
NEAT1,hsa-miR-211-5p
NEAT1,hsa-miR-214-3p
NEAT1,hsa-miR-216a-5p
NEAT1,hsa-miR-22-3p
NEAT1,hsa-miR-27a-3p
NEAT1,hsa-miR-27b-3p
NEAT1,hsa-miR-28-5p
NEAT1,hsa-miR-3139
NEAT1,hsa-miR-320b
NEAT1,hsa-miR-320c
NEAT1,hsa-miR-320d
NEAT1,hsa-miR-324-5p
NEAT1,hsa-miR-329-3p
NEAT1,hsa-miR-335-5p
NEAT1,hsa-miR-339-5p
NEAT1,hsa-miR-342-3p
NEAT1,hsa-miR-34a-5p
